GP0,GPIO0
GP1,GPIO1
GP2,GPIO2
GP3,GPIO3
GP4,GPIO4
GP5,GPIO5
GP6,GPIO6
GP7,GPIO7
GP8,GPIO8
GP9,GPIO9
GP10,GPIO10
GP11,GPIO11
GP12,GPIO12
GP13,GPIO13
GP14,GPIO14
GP15,GPIO15
GP16,GPIO16
GP17,GPIO17
GP18,GPIO18
GP19,GPIO19
GP20,GPIO20
GP21,GPIO21
GP22,GPIO22
GP23,GPIO23
GP24,GPIO23
GP25,GPIO25
GP26,GPIO26
GP27,GPIO27
GP28,GPIO28
GP29,GPIO29
GP30,GPIO30
GP31,GPIO31
GP32,GPIO32
GP33,GPIO33
GP34,GPIO34
GP35,GPIO35
GP36,GPIO36
GP37,GPIO37
GP38,GPIO38
GP39,GPIO39
GP40,GPIO40
GP41,GPIO41
GP42,GPIO42
GP43,GPIO43
GP44,GPIO44
GP45,GPIO45
GP46,GPIO46
GP47,GPIO47
QSSPI_SS1,GPIO0
UART-RX,GPIO4
UART-TX,GPIO5
I2C-SDA,GPIO8
I2C-SCL,GPIO9
SD-CLK,GPIO10
SD-CMD,GPIO11
SD-DAT0,GPIO12
SD-DAT1,GPIO13
SD-DAT2,GPIO14
SD-CD/DAT3,GPIO15
BACKLIGHT,GPIO17
LCD_DE,GPIO18
LCD_VSYNC,GPIO19
LCD_HSYNC,GPIO20
LCD_PCLK,GPIO21
LCD_B3,GPIO22
LCD_B4,GPIO23
LCD_B5,GPIO24
LCD_B6,GPIO25
LCD_B7,GPIO26
LCD_G2,GPIO27
LCD_G3,GPIO28
LCD_G4,GPIO29
LCD_G5,GPIO30
LCD_G6,GPIO31
LCD_G7,GPIO32
LCD_R3,GPIO33
LCD_R4,GPIO34
LCD_R5,GPIO35
LCD_R6,GPIO36
LCD_R7,GPIO37
TOUCH-INT,GPIO38
TOUCH-SCL,GPIO39
ADC0,GPIO40
ADC1,GPIO41
ADC2,GPIO42
ADC3,GPIO43
ADC4,GPIO44
ADC5,GPIO45
TOUCH-RES,GPIO46
TOUCH-SDA,GPIO47
SPI-SCK,GPIO42
SPI-MISO,GPIO43
SPI-MOSI,GPIO44
SPI-CS,GPIO45

